statement,label,city,country,correct_country,question,question_with_answer
The city of Bahcelievler is in Turkey.,1,Bahcelievler,Turkey,Turkey,In which country is the city of Bahcelievler located?,In which country is the city of Bahcelievler located? Turkey.
The city of Bahcelievler is in Germany.,0,Bahcelievler,Germany,Turkey,In which country is the city of Bahcelievler located?,In which country is the city of Bahcelievler located? Germany.
The city of Saratov is in Russia.,1,Saratov,Russia,Russia,In which country is the city of Saratov located?,In which country is the city of Saratov located? Russia.
The city of Saratov is in Indonesia.,0,Saratov,Indonesia,Russia,In which country is the city of Saratov located?,In which country is the city of Saratov located? Indonesia.
The city of Kharkiv is in Ukraine.,1,Kharkiv,Ukraine,Ukraine,In which country is the city of Kharkiv located?,In which country is the city of Kharkiv located? Ukraine.
The city of Kharkiv is in Moldova.,0,Kharkiv,Moldova,Ukraine,In which country is the city of Kharkiv located?,In which country is the city of Kharkiv located? Moldova.
The city of Malatya is in Turkey.,1,Malatya,Turkey,Turkey,In which country is the city of Malatya located?,In which country is the city of Malatya located? Turkey.
The city of Malatya is in Russia.,0,Malatya,Russia,Turkey,In which country is the city of Malatya located?,In which country is the city of Malatya located? Russia.
The city of Lviv is in Ukraine.,1,Lviv,Ukraine,Ukraine,In which country is the city of Lviv located?,In which country is the city of Lviv located? Ukraine.
The city of Lviv is in China.,0,Lviv,China,Ukraine,In which country is the city of Lviv located?,In which country is the city of Lviv located? China.
The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine,In which country is the city of Kyiv located?,In which country is the city of Kyiv located? Ukraine.
The city of Kyiv is in Russia.,0,Kyiv,Russia,Ukraine,In which country is the city of Kyiv located?,In which country is the city of Kyiv located? Russia.
The city of Kitakyushu is in Japan.,1,Kitakyushu,Japan,Japan,In which country is the city of Kitakyushu located?,In which country is the city of Kitakyushu located? Japan.
The city of Kitakyushu is in Yemen.,0,Kitakyushu,Yemen,Japan,In which country is the city of Kitakyushu located?,In which country is the city of Kitakyushu located? Yemen.
The city of Onitsha is in Nigeria.,1,Onitsha,Nigeria,Nigeria,In which country is the city of Onitsha located?,In which country is the city of Onitsha located? Nigeria.
The city of Onitsha is in China.,0,Onitsha,China,Nigeria,In which country is the city of Onitsha located?,In which country is the city of Onitsha located? China.
The city of Anyang-si is in South Korea.,1,Anyang-si,South Korea,South Korea,In which country is the city of Anyang-si located?,In which country is the city of Anyang-si located? South Korea.
The city of Anyang-si is in Iraq.,0,Anyang-si,Iraq,South Korea,In which country is the city of Anyang-si located?,In which country is the city of Anyang-si located? Iraq.
The city of Kobe is in Japan.,1,Kobe,Japan,Japan,In which country is the city of Kobe located?,In which country is the city of Kobe located? Japan.
The city of Kobe is in China.,0,Kobe,China,Japan,In which country is the city of Kobe located?,In which country is the city of Kobe located? China.
The city of Chiclayo is in Peru.,1,Chiclayo,Peru,Peru,In which country is the city of Chiclayo located?,In which country is the city of Chiclayo located? Peru.
The city of Chiclayo is in Venezuela.,0,Chiclayo,Venezuela,Peru,In which country is the city of Chiclayo located?,In which country is the city of Chiclayo located? Venezuela.
The city of Phnom Penh is in Cambodia.,1,Phnom Penh,Cambodia,Cambodia,In which country is the city of Phnom Penh located?,In which country is the city of Phnom Penh located? Cambodia.
The city of Phnom Penh is in Senegal.,0,Phnom Penh,Senegal,Cambodia,In which country is the city of Phnom Penh located?,In which country is the city of Phnom Penh located? Senegal.
The city of Nouakchott is in Mauritania.,1,Nouakchott,Mauritania,Mauritania,In which country is the city of Nouakchott located?,In which country is the city of Nouakchott located? Mauritania.
The city of Nouakchott is in China.,0,Nouakchott,China,Mauritania,In which country is the city of Nouakchott located?,In which country is the city of Nouakchott located? China.
The city of Vijayawada is in India.,1,Vijayawada,India,India,In which country is the city of Vijayawada located?,In which country is the city of Vijayawada located? India.
The city of Vijayawada is in Nigeria.,0,Vijayawada,Nigeria,India,In which country is the city of Vijayawada located?,In which country is the city of Vijayawada located? Nigeria.
The city of Theni is in India.,1,Theni,India,India,In which country is the city of Theni located?,In which country is the city of Theni located? India.
The city of Theni is in Nigeria.,0,Theni,Nigeria,India,In which country is the city of Theni located?,In which country is the city of Theni located? Nigeria.
The city of Narela is in India.,1,Narela,India,India,In which country is the city of Narela located?,In which country is the city of Narela located? India.
The city of Narela is in Turkey.,0,Narela,Turkey,India,In which country is the city of Narela located?,In which country is the city of Narela located? Turkey.
The city of Quetta is in Pakistan.,1,Quetta,Pakistan,Pakistan,In which country is the city of Quetta located?,In which country is the city of Quetta located? Pakistan.
The city of Quetta is in Kenya.,0,Quetta,Kenya,Pakistan,In which country is the city of Quetta located?,In which country is the city of Quetta located? Kenya.
The city of Chennai is in India.,1,Chennai,India,India,In which country is the city of Chennai located?,In which country is the city of Chennai located? India.
The city of Chennai is in China.,0,Chennai,China,India,In which country is the city of Chennai located?,In which country is the city of Chennai located? China.
The city of Changshu is in China.,1,Changshu,China,China,In which country is the city of Changshu located?,In which country is the city of Changshu located? China.
The city of Changshu is in the Philippines.,0,Changshu,the Philippines,China,In which country is the city of Changshu located?,In which country is the city of Changshu located? the Philippines.
The city of Tehran is in Iran.,1,Tehran,Iran,Iran,In which country is the city of Tehran located?,In which country is the city of Tehran located? Iran.
The city of Tehran is in Niger.,0,Tehran,Niger,Iran,In which country is the city of Tehran located?,In which country is the city of Tehran located? Niger.
The city of Bayannur is in China.,1,Bayannur,China,China,In which country is the city of Bayannur located?,In which country is the city of Bayannur located? China.
The city of Bayannur is in Russia.,0,Bayannur,Russia,China,In which country is the city of Bayannur located?,In which country is the city of Bayannur located? Russia.
The city of Barranquilla is in Colombia.,1,Barranquilla,Colombia,Colombia,In which country is the city of Barranquilla located?,In which country is the city of Barranquilla located? Colombia.
The city of Barranquilla is in Pakistan.,0,Barranquilla,Pakistan,Colombia,In which country is the city of Barranquilla located?,In which country is the city of Barranquilla located? Pakistan.
The city of Budapest is in Hungary.,1,Budapest,Hungary,Hungary,In which country is the city of Budapest located?,In which country is the city of Budapest located? Hungary.
The city of Budapest is in Iraq.,0,Budapest,Iraq,Hungary,In which country is the city of Budapest located?,In which country is the city of Budapest located? Iraq.
The city of Pontianak is in Indonesia.,1,Pontianak,Indonesia,Indonesia,In which country is the city of Pontianak located?,In which country is the city of Pontianak located? Indonesia.
The city of Pontianak is in India.,0,Pontianak,India,Indonesia,In which country is the city of Pontianak located?,In which country is the city of Pontianak located? India.
The city of Recife is in Brazil.,1,Recife,Brazil,Brazil,In which country is the city of Recife located?,In which country is the city of Recife located? Brazil.
The city of Recife is in North Korea.,0,Recife,North Korea,Brazil,In which country is the city of Recife located?,In which country is the city of Recife located? North Korea.
The city of Contagem is in Brazil.,1,Contagem,Brazil,Brazil,In which country is the city of Contagem located?,In which country is the city of Contagem located? Brazil.
The city of Contagem is in Indonesia.,0,Contagem,Indonesia,Brazil,In which country is the city of Contagem located?,In which country is the city of Contagem located? Indonesia.
The city of Port Said is in Egypt.,1,Port Said,Egypt,Egypt,In which country is the city of Port Said located?,In which country is the city of Port Said located? Egypt.
The city of Port Said is in China.,0,Port Said,China,Egypt,In which country is the city of Port Said located?,In which country is the city of Port Said located? China.
The city of Asyut is in Egypt.,1,Asyut,Egypt,Egypt,In which country is the city of Asyut located?,In which country is the city of Asyut located? Egypt.
The city of Asyut is in Japan.,0,Asyut,Japan,Egypt,In which country is the city of Asyut located?,In which country is the city of Asyut located? Japan.
The city of Ziyang is in China.,1,Ziyang,China,China,In which country is the city of Ziyang located?,In which country is the city of Ziyang located? China.
The city of Ziyang is in Belgium.,0,Ziyang,Belgium,China,In which country is the city of Ziyang located?,In which country is the city of Ziyang located? Belgium.
The city of Yinchuan is in China.,1,Yinchuan,China,China,In which country is the city of Yinchuan located?,In which country is the city of Yinchuan located? China.
The city of Yinchuan is in Bangladesh.,0,Yinchuan,Bangladesh,China,In which country is the city of Yinchuan located?,In which country is the city of Yinchuan located? Bangladesh.
The city of Zhangjiagang is in China.,1,Zhangjiagang,China,China,In which country is the city of Zhangjiagang located?,In which country is the city of Zhangjiagang located? China.
The city of Zhangjiagang is in Brazil.,0,Zhangjiagang,Brazil,China,In which country is the city of Zhangjiagang located?,In which country is the city of Zhangjiagang located? Brazil.
The city of Shanghai is in China.,1,Shanghai,China,China,In which country is the city of Shanghai located?,In which country is the city of Shanghai located? China.
The city of Shanghai is in Mexico.,0,Shanghai,Mexico,China,In which country is the city of Shanghai located?,In which country is the city of Shanghai located? Mexico.
The city of Jieyang is in China.,1,Jieyang,China,China,In which country is the city of Jieyang located?,In which country is the city of Jieyang located? China.
The city of Jieyang is in the Philippines.,0,Jieyang,the Philippines,China,In which country is the city of Jieyang located?,In which country is the city of Jieyang located? the Philippines.
The city of Longyan is in China.,1,Longyan,China,China,In which country is the city of Longyan located?,In which country is the city of Longyan located? China.
The city of Longyan is in Benin.,0,Longyan,Benin,China,In which country is the city of Longyan located?,In which country is the city of Longyan located? Benin.
The city of Dandong is in China.,1,Dandong,China,China,In which country is the city of Dandong located?,In which country is the city of Dandong located? China.
The city of Dandong is in Niger.,0,Dandong,Niger,China,In which country is the city of Dandong located?,In which country is the city of Dandong located? Niger.
The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany,In which country is the city of Frankfurt am Main located?,In which country is the city of Frankfurt am Main located? Germany.
The city of Frankfurt am Main is in Vietnam.,0,Frankfurt am Main,Vietnam,Germany,In which country is the city of Frankfurt am Main located?,In which country is the city of Frankfurt am Main located? Vietnam.
The city of Lusaka is in Zambia.,1,Lusaka,Zambia,Zambia,In which country is the city of Lusaka located?,In which country is the city of Lusaka located? Zambia.
The city of Lusaka is in Poland.,0,Lusaka,Poland,Zambia,In which country is the city of Lusaka located?,In which country is the city of Lusaka located? Poland.
The city of Aden is in Yemen.,1,Aden,Yemen,Yemen,In which country is the city of Aden located?,In which country is the city of Aden located? Yemen.
The city of Aden is in Japan.,0,Aden,Japan,Yemen,In which country is the city of Aden located?,In which country is the city of Aden located? Japan.
The city of Jaboatao is in Brazil.,1,Jaboatao,Brazil,Brazil,In which country is the city of Jaboatao located?,In which country is the city of Jaboatao located? Brazil.
The city of Jaboatao is in Syria.,0,Jaboatao,Syria,Brazil,In which country is the city of Jaboatao located?,In which country is the city of Jaboatao located? Syria.
The city of Aracaju is in Brazil.,1,Aracaju,Brazil,Brazil,In which country is the city of Aracaju located?,In which country is the city of Aracaju located? Brazil.
The city of Aracaju is in Russia.,0,Aracaju,Russia,Brazil,In which country is the city of Aracaju located?,In which country is the city of Aracaju located? Russia.
The city of Londrina is in Brazil.,1,Londrina,Brazil,Brazil,In which country is the city of Londrina located?,In which country is the city of Londrina located? Brazil.
The city of Londrina is in India.,0,Londrina,India,Brazil,In which country is the city of Londrina located?,In which country is the city of Londrina located? India.
The city of Zigong is in China.,1,Zigong,China,China,In which country is the city of Zigong located?,In which country is the city of Zigong located? China.
The city of Zigong is in Turkey.,0,Zigong,Turkey,China,In which country is the city of Zigong located?,In which country is the city of Zigong located? Turkey.
The city of Kunshan is in China.,1,Kunshan,China,China,In which country is the city of Kunshan located?,In which country is the city of Kunshan located? China.
The city of Kunshan is in Russia.,0,Kunshan,Russia,China,In which country is the city of Kunshan located?,In which country is the city of Kunshan located? Russia.
The city of Yichang is in China.,1,Yichang,China,China,In which country is the city of Yichang located?,In which country is the city of Yichang located? China.
The city of Yichang is in Japan.,0,Yichang,Japan,China,In which country is the city of Yichang located?,In which country is the city of Yichang located? Japan.
The city of Sanming is in China.,1,Sanming,China,China,In which country is the city of Sanming located?,In which country is the city of Sanming located? China.
The city of Sanming is in Bulgaria.,0,Sanming,Bulgaria,China,In which country is the city of Sanming located?,In which country is the city of Sanming located? Bulgaria.
The city of Guang'an is in China.,1,Guang'an,China,China,In which country is the city of Guang'an located?,In which country is the city of Guang'an located? China.
The city of Guang'an is in Germany.,0,Guang'an,Germany,China,In which country is the city of Guang'an located?,In which country is the city of Guang'an located? Germany.
The city of Ma'anshan is in China.,1,Ma'anshan,China,China,In which country is the city of Ma'anshan located?,In which country is the city of Ma'anshan located? China.
The city of Ma'anshan is in India.,0,Ma'anshan,India,China,In which country is the city of Ma'anshan located?,In which country is the city of Ma'anshan located? India.
The city of Dongying is in China.,1,Dongying,China,China,In which country is the city of Dongying located?,In which country is the city of Dongying located? China.
The city of Dongying is in India.,0,Dongying,India,China,In which country is the city of Dongying located?,In which country is the city of Dongying located? India.
The city of Fushun is in China.,1,Fushun,China,China,In which country is the city of Fushun located?,In which country is the city of Fushun located? China.
The city of Fushun is in Mexico.,0,Fushun,Mexico,China,In which country is the city of Fushun located?,In which country is the city of Fushun located? Mexico.
The city of Rajshahi is in Bangladesh.,1,Rajshahi,Bangladesh,Bangladesh,In which country is the city of Rajshahi located?,In which country is the city of Rajshahi located? Bangladesh.
The city of Rajshahi is in Russia.,0,Rajshahi,Russia,Bangladesh,In which country is the city of Rajshahi located?,In which country is the city of Rajshahi located? Russia.
The city of Rangpur is in Bangladesh.,1,Rangpur,Bangladesh,Bangladesh,In which country is the city of Rangpur located?,In which country is the city of Rangpur located? Bangladesh.
The city of Rangpur is in Russia.,0,Rangpur,Russia,Bangladesh,In which country is the city of Rangpur located?,In which country is the city of Rangpur located? Russia.
The city of Dortmund is in Germany.,1,Dortmund,Germany,Germany,In which country is the city of Dortmund located?,In which country is the city of Dortmund located? Germany.
The city of Dortmund is in India.,0,Dortmund,India,Germany,In which country is the city of Dortmund located?,In which country is the city of Dortmund located? India.
The city of Detroit is in the United States.,1,Detroit,the United States,the United States,In which country is the city of Detroit located?,In which country is the city of Detroit located? the United States.
The city of Detroit is in China.,0,Detroit,China,the United States,In which country is the city of Detroit located?,In which country is the city of Detroit located? China.
The city of Latakia is in Syria.,1,Latakia,Syria,Syria,In which country is the city of Latakia located?,In which country is the city of Latakia located? Syria.
The city of Latakia is in Somalia.,0,Latakia,Somalia,Syria,In which country is the city of Latakia located?,In which country is the city of Latakia located? Somalia.
The city of Ashgabat is in Turkmenistan.,1,Ashgabat,Turkmenistan,Turkmenistan,In which country is the city of Ashgabat located?,In which country is the city of Ashgabat located? Turkmenistan.
The city of Ashgabat is in Bangladesh.,0,Ashgabat,Bangladesh,Turkmenistan,In which country is the city of Ashgabat located?,In which country is the city of Ashgabat located? Bangladesh.
The city of Maracaibo is in Venezuela.,1,Maracaibo,Venezuela,Venezuela,In which country is the city of Maracaibo located?,In which country is the city of Maracaibo located? Venezuela.
The city of Maracaibo is in Russia.,0,Maracaibo,Russia,Venezuela,In which country is the city of Maracaibo located?,In which country is the city of Maracaibo located? Russia.
The city of Erode is in India.,1,Erode,India,India,In which country is the city of Erode located?,In which country is the city of Erode located? India.
The city of Erode is in China.,0,Erode,China,India,In which country is the city of Erode located?,In which country is the city of Erode located? China.
The city of Mumbai is in India.,1,Mumbai,India,India,In which country is the city of Mumbai located?,In which country is the city of Mumbai located? India.
The city of Mumbai is in China.,0,Mumbai,China,India,In which country is the city of Mumbai located?,In which country is the city of Mumbai located? China.
The city of Nasiriyah is in Iraq.,1,Nasiriyah,Iraq,Iraq,In which country is the city of Nasiriyah located?,In which country is the city of Nasiriyah located? Iraq.
The city of Nasiriyah is in Rwanda.,0,Nasiriyah,Rwanda,Iraq,In which country is the city of Nasiriyah located?,In which country is the city of Nasiriyah located? Rwanda.
The city of Kahriz is in Iran.,1,Kahriz,Iran,Iran,In which country is the city of Kahriz located?,In which country is the city of Kahriz located? Iran.
The city of Kahriz is in Uzbekistan.,0,Kahriz,Uzbekistan,Iran,In which country is the city of Kahriz located?,In which country is the city of Kahriz located? Uzbekistan.
The city of Surakarta is in Indonesia.,1,Surakarta,Indonesia,Indonesia,In which country is the city of Surakarta located?,In which country is the city of Surakarta located? Indonesia.
The city of Surakarta is in India.,0,Surakarta,India,Indonesia,In which country is the city of Surakarta located?,In which country is the city of Surakarta located? India.
The city of Banjarmasin is in Indonesia.,1,Banjarmasin,Indonesia,Indonesia,In which country is the city of Banjarmasin located?,In which country is the city of Banjarmasin located? Indonesia.
The city of Banjarmasin is in South Korea.,0,Banjarmasin,South Korea,Indonesia,In which country is the city of Banjarmasin located?,In which country is the city of Banjarmasin located? South Korea.
The city of Vladivostok is in Russia.,1,Vladivostok,Russia,Russia,In which country is the city of Vladivostok located?,In which country is the city of Vladivostok located? Russia.
The city of Vladivostok is in Romania.,0,Vladivostok,Romania,Russia,In which country is the city of Vladivostok located?,In which country is the city of Vladivostok located? Romania.
The city of Adana is in Turkey.,1,Adana,Turkey,Turkey,In which country is the city of Adana located?,In which country is the city of Adana located? Turkey.
The city of Adana is in Togo.,0,Adana,Togo,Turkey,In which country is the city of Adana located?,In which country is the city of Adana located? Togo.
The city of Voronezh is in Russia.,1,Voronezh,Russia,Russia,In which country is the city of Voronezh located?,In which country is the city of Voronezh located? Russia.
The city of Voronezh is in Romania.,0,Voronezh,Romania,Russia,In which country is the city of Voronezh located?,In which country is the city of Voronezh located? Romania.
The city of Namangan is in Uzbekistan.,1,Namangan,Uzbekistan,Uzbekistan,In which country is the city of Namangan located?,In which country is the city of Namangan located? Uzbekistan.
The city of Namangan is in India.,0,Namangan,India,Uzbekistan,In which country is the city of Namangan located?,In which country is the city of Namangan located? India.
The city of Ordos is in China.,1,Ordos,China,China,In which country is the city of Ordos located?,In which country is the city of Ordos located? China.
The city of Ordos is in Brazil.,0,Ordos,Brazil,China,In which country is the city of Ordos located?,In which country is the city of Ordos located? Brazil.
The city of Moradabad is in India.,1,Moradabad,India,India,In which country is the city of Moradabad located?,In which country is the city of Moradabad located? India.
The city of Moradabad is in China.,0,Moradabad,China,India,In which country is the city of Moradabad located?,In which country is the city of Moradabad located? China.
The city of Bengaluru is in India.,1,Bengaluru,India,India,In which country is the city of Bengaluru located?,In which country is the city of Bengaluru located? India.
The city of Bengaluru is in China.,0,Bengaluru,China,India,In which country is the city of Bengaluru located?,In which country is the city of Bengaluru located? China.
The city of Shivaji Nagar is in India.,1,Shivaji Nagar,India,India,In which country is the city of Shivaji Nagar located?,In which country is the city of Shivaji Nagar located? India.
The city of Shivaji Nagar is in China.,0,Shivaji Nagar,China,India,In which country is the city of Shivaji Nagar located?,In which country is the city of Shivaji Nagar located? China.
The city of Turin is in Italy.,1,Turin,Italy,Italy,In which country is the city of Turin located?,In which country is the city of Turin located? Italy.
The city of Turin is in China.,0,Turin,China,Italy,In which country is the city of Turin located?,In which country is the city of Turin located? China.
The city of Okayama is in Japan.,1,Okayama,Japan,Japan,In which country is the city of Okayama located?,In which country is the city of Okayama located? Japan.
The city of Okayama is in Russia.,0,Okayama,Russia,Japan,In which country is the city of Okayama located?,In which country is the city of Okayama located? Russia.
The city of Daejeon is in South Korea.,1,Daejeon,South Korea,South Korea,In which country is the city of Daejeon located?,In which country is the city of Daejeon located? South Korea.
The city of Daejeon is in India.,0,Daejeon,India,South Korea,In which country is the city of Daejeon located?,In which country is the city of Daejeon located? India.
The city of Battagram is in Pakistan.,1,Battagram,Pakistan,Pakistan,In which country is the city of Battagram located?,In which country is the city of Battagram located? Pakistan.
The city of Battagram is in Tanzania.,0,Battagram,Tanzania,Pakistan,In which country is the city of Battagram located?,In which country is the city of Battagram located? Tanzania.
The city of Yaounde is in Cameroon.,1,Yaounde,Cameroon,Cameroon,In which country is the city of Yaounde located?,In which country is the city of Yaounde located? Cameroon.
The city of Yaounde is in China.,0,Yaounde,China,Cameroon,In which country is the city of Yaounde located?,In which country is the city of Yaounde located? China.
The city of Zhangzhou is in China.,1,Zhangzhou,China,China,In which country is the city of Zhangzhou located?,In which country is the city of Zhangzhou located? China.
The city of Zhangzhou is in Nicaragua.,0,Zhangzhou,Nicaragua,China,In which country is the city of Zhangzhou located?,In which country is the city of Zhangzhou located? Nicaragua.
The city of Yangquan is in China.,1,Yangquan,China,China,In which country is the city of Yangquan located?,In which country is the city of Yangquan located? China.
The city of Yangquan is in Hungary.,0,Yangquan,Hungary,China,In which country is the city of Yangquan located?,In which country is the city of Yangquan located? Hungary.
The city of Sanya is in China.,1,Sanya,China,China,In which country is the city of Sanya located?,In which country is the city of Sanya located? China.
The city of Sanya is in India.,0,Sanya,India,China,In which country is the city of Sanya located?,In which country is the city of Sanya located? India.
The city of Foshan is in China.,1,Foshan,China,China,In which country is the city of Foshan located?,In which country is the city of Foshan located? China.
The city of Foshan is in Mozambique.,0,Foshan,Mozambique,China,In which country is the city of Foshan located?,In which country is the city of Foshan located? Mozambique.
The city of Sharjah is in the United Arab Emirates.,1,Sharjah,the United Arab Emirates,the United Arab Emirates,In which country is the city of Sharjah located?,In which country is the city of Sharjah located? the United Arab Emirates.
The city of Sharjah is in China.,0,Sharjah,China,the United Arab Emirates,In which country is the city of Sharjah located?,In which country is the city of Sharjah located? China.
The city of Al Ain City is in the United Arab Emirates.,1,Al Ain City,the United Arab Emirates,the United Arab Emirates,In which country is the city of Al Ain City located?,In which country is the city of Al Ain City located? the United Arab Emirates.
The city of Al Ain City is in India.,0,Al Ain City,India,the United Arab Emirates,In which country is the city of Al Ain City located?,In which country is the city of Al Ain City located? India.
The city of Kalininskiy is in Russia.,1,Kalininskiy,Russia,Russia,In which country is the city of Kalininskiy located?,In which country is the city of Kalininskiy located? Russia.
The city of Kalininskiy is in Japan.,0,Kalininskiy,Japan,Russia,In which country is the city of Kalininskiy located?,In which country is the city of Kalininskiy located? Japan.
The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey,In which country is the city of Mersin located?,In which country is the city of Mersin located? Turkey.
The city of Mersin is in the United States.,0,Mersin,the United States,Turkey,In which country is the city of Mersin located?,In which country is the city of Mersin located? the United States.
The city of Guayaquil is in Ecuador.,1,Guayaquil,Ecuador,Ecuador,In which country is the city of Guayaquil located?,In which country is the city of Guayaquil located? Ecuador.
The city of Guayaquil is in China.,0,Guayaquil,China,Ecuador,In which country is the city of Guayaquil located?,In which country is the city of Guayaquil located? China.
The city of Tegucigalpa is in Honduras.,1,Tegucigalpa,Honduras,Honduras,In which country is the city of Tegucigalpa located?,In which country is the city of Tegucigalpa located? Honduras.
The city of Tegucigalpa is in China.,0,Tegucigalpa,China,Honduras,In which country is the city of Tegucigalpa located?,In which country is the city of Tegucigalpa located? China.
The city of Koeln is in Germany.,1,Koeln,Germany,Germany,In which country is the city of Koeln located?,In which country is the city of Koeln located? Germany.
The city of Koeln is in Nigeria.,0,Koeln,Nigeria,Germany,In which country is the city of Koeln located?,In which country is the city of Koeln located? Nigeria.
The city of Nuernberg is in Germany.,1,Nuernberg,Germany,Germany,In which country is the city of Nuernberg located?,In which country is the city of Nuernberg located? Germany.
The city of Nuernberg is in China.,0,Nuernberg,China,Germany,In which country is the city of Nuernberg located?,In which country is the city of Nuernberg located? China.
The city of Zarqa is in Jordan.,1,Zarqa,Jordan,Jordan,In which country is the city of Zarqa located?,In which country is the city of Zarqa located? Jordan.
The city of Zarqa is in India.,0,Zarqa,India,Jordan,In which country is the city of Zarqa located?,In which country is the city of Zarqa located? India.
The city of Riga is in Latvia.,1,Riga,Latvia,Latvia,In which country is the city of Riga located?,In which country is the city of Riga located? Latvia.
The city of Riga is in Japan.,0,Riga,Japan,Latvia,In which country is the city of Riga located?,In which country is the city of Riga located? Japan.
The city of Nanded is in India.,1,Nanded,India,India,In which country is the city of Nanded located?,In which country is the city of Nanded located? India.
The city of Nanded is in China.,0,Nanded,China,India,In which country is the city of Nanded located?,In which country is the city of Nanded located? China.
The city of Gwalior is in India.,1,Gwalior,India,India,In which country is the city of Gwalior located?,In which country is the city of Gwalior located? India.
The city of Gwalior is in China.,0,Gwalior,China,India,In which country is the city of Gwalior located?,In which country is the city of Gwalior located? China.
The city of Dombivli is in India.,1,Dombivli,India,India,In which country is the city of Dombivli located?,In which country is the city of Dombivli located? India.
The city of Dombivli is in Mali.,0,Dombivli,Mali,India,In which country is the city of Dombivli located?,In which country is the city of Dombivli located? Mali.
The city of Kallakurichi is in India.,1,Kallakurichi,India,India,In which country is the city of Kallakurichi located?,In which country is the city of Kallakurichi located? India.
The city of Kallakurichi is in Iraq.,0,Kallakurichi,Iraq,India,In which country is the city of Kallakurichi located?,In which country is the city of Kallakurichi located? Iraq.
The city of Bekasi is in Indonesia.,1,Bekasi,Indonesia,Indonesia,In which country is the city of Bekasi located?,In which country is the city of Bekasi located? Indonesia.
The city of Bekasi is in China.,0,Bekasi,China,Indonesia,In which country is the city of Bekasi located?,In which country is the city of Bekasi located? China.
The city of Johor Bahru is in Malaysia.,1,Johor Bahru,Malaysia,Malaysia,In which country is the city of Johor Bahru located?,In which country is the city of Johor Bahru located? Malaysia.
The city of Johor Bahru is in Cuba.,0,Johor Bahru,Cuba,Malaysia,In which country is the city of Johor Bahru located?,In which country is the city of Johor Bahru located? Cuba.
The city of Santa Maria Chimalhuacan is in Mexico.,1,Santa Maria Chimalhuacan,Mexico,Mexico,In which country is the city of Santa Maria Chimalhuacan located?,In which country is the city of Santa Maria Chimalhuacan located? Mexico.
The city of Santa Maria Chimalhuacan is in Saudi Arabia.,0,Santa Maria Chimalhuacan,Saudi Arabia,Mexico,In which country is the city of Santa Maria Chimalhuacan located?,In which country is the city of Santa Maria Chimalhuacan located? Saudi Arabia.
The city of Urumqi is in China.,1,Urumqi,China,China,In which country is the city of Urumqi located?,In which country is the city of Urumqi located? China.
The city of Urumqi is in Vietnam.,0,Urumqi,Vietnam,China,In which country is the city of Urumqi located?,In which country is the city of Urumqi located? Vietnam.
The city of Qingdao is in China.,1,Qingdao,China,China,In which country is the city of Qingdao located?,In which country is the city of Qingdao located? China.
The city of Qingdao is in India.,0,Qingdao,India,China,In which country is the city of Qingdao located?,In which country is the city of Qingdao located? India.
The city of Sofia is in Bulgaria.,1,Sofia,Bulgaria,Bulgaria,In which country is the city of Sofia located?,In which country is the city of Sofia located? Bulgaria.
The city of Sofia is in South Korea.,0,Sofia,South Korea,Bulgaria,In which country is the city of Sofia located?,In which country is the city of Sofia located? South Korea.
The city of Nova Iguacu is in Brazil.,1,Nova Iguacu,Brazil,Brazil,In which country is the city of Nova Iguacu located?,In which country is the city of Nova Iguacu located? Brazil.
The city of Nova Iguacu is in India.,0,Nova Iguacu,India,Brazil,In which country is the city of Nova Iguacu located?,In which country is the city of Nova Iguacu located? India.
The city of Abeokuta is in Nigeria.,1,Abeokuta,Nigeria,Nigeria,In which country is the city of Abeokuta located?,In which country is the city of Abeokuta located? Nigeria.
The city of Abeokuta is in Mozambique.,0,Abeokuta,Mozambique,Nigeria,In which country is the city of Abeokuta located?,In which country is the city of Abeokuta located? Mozambique.
The city of Amman is in Jordan.,1,Amman,Jordan,Jordan,In which country is the city of Amman located?,In which country is the city of Amman located? Jordan.
The city of Amman is in Malaysia.,0,Amman,Malaysia,Jordan,In which country is the city of Amman located?,In which country is the city of Amman located? Malaysia.
The city of Hachioji is in Japan.,1,Hachioji,Japan,Japan,In which country is the city of Hachioji located?,In which country is the city of Hachioji located? Japan.
The city of Hachioji is in Mexico.,0,Hachioji,Mexico,Japan,In which country is the city of Hachioji located?,In which country is the city of Hachioji located? Mexico.
The city of Fukuoka is in Japan.,1,Fukuoka,Japan,Japan,In which country is the city of Fukuoka located?,In which country is the city of Fukuoka located? Japan.
The city of Fukuoka is in Senegal.,0,Fukuoka,Senegal,Japan,In which country is the city of Fukuoka located?,In which country is the city of Fukuoka located? Senegal.
The city of Goyang-si is in South Korea.,1,Goyang-si,South Korea,South Korea,In which country is the city of Goyang-si located?,In which country is the city of Goyang-si located? South Korea.
The city of Goyang-si is in Russia.,0,Goyang-si,Russia,South Korea,In which country is the city of Goyang-si located?,In which country is the city of Goyang-si located? Russia.
The city of Meknes is in Morocco.,1,Meknes,Morocco,Morocco,In which country is the city of Meknes located?,In which country is the city of Meknes located? Morocco.
